Trait,Genre,Coefficient,Abs_Coefficient,Direction
Openness,Music,0.04224844057568414,0.04224844057568414,Positive
Openness,Slow songs or fast songs,-0.04061740169198524,0.04061740169198524,Negative
Openness,Dance,-0.0016128809460427703,0.0016128809460427703,Negative
Openness,Folk,0.000612548519436608,0.000612548519436608,Positive
Openness,Country,-0.07620561311440792,0.07620561311440792,Negative
Openness,Classical music,0.0981935597066912,0.0981935597066912,Positive
Openness,Musical,0.20025999739162084,0.20025999739162084,Positive
Openness,Pop,-0.04097998452565536,0.04097998452565536,Negative
Openness,Rock,0.05875317399227268,0.05875317399227268,Positive
Openness,Metal or Hardrock,-0.02680509210213983,0.02680509210213983,Negative
Openness,Punk,0.0412934513808829,0.0412934513808829,Positive
Openness,"Hiphop, Rap",-0.041492548807984635,0.041492548807984635,Negative
Openness,"Reggae, Ska",0.02334151105113004,0.02334151105113004,Positive
Openness,"Swing, Jazz",0.11699951504936679,0.11699951504936679,Positive
Openness,Rock n roll,-0.03249091204969616,0.03249091204969616,Negative
Openness,Alternative,0.1314798895701061,0.1314798895701061,Positive
Openness,Latino,0.032865122746575486,0.032865122746575486,Positive
Openness,"Techno, Trance",-0.02586379448724005,0.02586379448724005,Negative
Openness,Opera,0.1846054825454114,0.1846054825454114,Positive
Conscientiousness,Music,0.014118735142924256,0.014118735142924256,Positive
Conscientiousness,Slow songs or fast songs,0.002057377962189972,0.002057377962189972,Positive
Conscientiousness,Dance,0.0018518689061845456,0.0018518689061845456,Positive
Conscientiousness,Folk,0.026657885585492345,0.026657885585492345,Positive
Conscientiousness,Country,-0.024145139211310535,0.024145139211310535,Negative
Conscientiousness,Classical music,0.04170914294920991,0.04170914294920991,Positive
Conscientiousness,Musical,0.00753422171994226,0.00753422171994226,Positive
Conscientiousness,Pop,0.002043058068997715,0.002043058068997715,Positive
Conscientiousness,Rock,-0.007353934426835376,0.007353934426835376,Negative
Conscientiousness,Metal or Hardrock,-0.09649836490705901,0.09649836490705901,Negative
Conscientiousness,Punk,0.057507536371171945,0.057507536371171945,Positive
Conscientiousness,"Hiphop, Rap",0.013298781808764426,0.013298781808764426,Positive
Conscientiousness,"Reggae, Ska",-0.009925224184086926,0.009925224184086926,Negative
Conscientiousness,"Swing, Jazz",0.036203283557370625,0.036203283557370625,Positive
Conscientiousness,Rock n roll,-0.014332497844567102,0.014332497844567102,Negative
Conscientiousness,Alternative,-0.05126057415808505,0.05126057415808505,Negative
Conscientiousness,Latino,0.07464653492416498,0.07464653492416498,Positive
Conscientiousness,"Techno, Trance",-0.028479495688239483,0.028479495688239483,Negative
Conscientiousness,Opera,0.07831515938528595,0.07831515938528595,Positive
Extraversion,Music,0.08437537519706044,0.08437537519706044,Positive
Extraversion,Slow songs or fast songs,0.032470611394218106,0.032470611394218106,Positive
Extraversion,Dance,0.07852956488577743,0.07852956488577743,Positive
Extraversion,Folk,0.02539363724424094,0.02539363724424094,Positive
Extraversion,Country,-0.06349526954596582,0.06349526954596582,Negative
Extraversion,Classical music,-0.04545294010211398,0.04545294010211398,Negative
Extraversion,Musical,0.008562438440920134,0.008562438440920134,Positive
Extraversion,Pop,-0.014847627642219354,0.014847627642219354,Negative
Extraversion,Rock,-0.02348207439053241,0.02348207439053241,Negative
Extraversion,Metal or Hardrock,0.02947147820987746,0.02947147820987746,Positive
Extraversion,Punk,9.157117532424774e-05,9.157117532424774e-05,Positive
Extraversion,"Hiphop, Rap",0.06409711024186576,0.06409711024186576,Positive
Extraversion,"Reggae, Ska",0.03487669769476365,0.03487669769476365,Positive
Extraversion,"Swing, Jazz",0.006989543298037106,0.006989543298037106,Positive
Extraversion,Rock n roll,0.039029901414508905,0.039029901414508905,Positive
Extraversion,Alternative,-0.03951160995730795,0.03951160995730795,Negative
Extraversion,Latino,0.035823867046551654,0.035823867046551654,Positive
Extraversion,"Techno, Trance",0.027330373971245568,0.027330373971245568,Positive
Extraversion,Opera,0.047744508457972755,0.047744508457972755,Positive
Agreeableness,Music,0.06336506615301622,0.06336506615301622,Positive
Agreeableness,Slow songs or fast songs,-0.014730202307333535,0.014730202307333535,Negative
Agreeableness,Dance,0.02197672111341078,0.02197672111341078,Positive
Agreeableness,Folk,0.05696774622004151,0.05696774622004151,Positive
Agreeableness,Country,0.006814090330372309,0.006814090330372309,Positive
Agreeableness,Classical music,-0.011692402994309818,0.011692402994309818,Negative
Agreeableness,Musical,0.10069112926970211,0.10069112926970211,Positive
Agreeableness,Pop,0.022844230547277567,0.022844230547277567,Positive
Agreeableness,Rock,0.037962561435112875,0.037962561435112875,Positive
Agreeableness,Metal or Hardrock,-0.06608447344892598,0.06608447344892598,Negative
Agreeableness,Punk,0.016671062396844856,0.016671062396844856,Positive
Agreeableness,"Hiphop, Rap",-0.008500321353202885,0.008500321353202885,Negative
Agreeableness,"Reggae, Ska",0.019784176303163842,0.019784176303163842,Positive
Agreeableness,"Swing, Jazz",0.008747647826343592,0.008747647826343592,Positive
Agreeableness,Rock n roll,-0.0026301494397879565,0.0026301494397879565,Negative
Agreeableness,Alternative,-0.006435870743147866,0.006435870743147866,Negative
Agreeableness,Latino,0.048371488402184,0.048371488402184,Positive
Agreeableness,"Techno, Trance",-0.0017825118080983294,0.0017825118080983294,Negative
Agreeableness,Opera,-0.006818713871764965,0.006818713871764965,Negative
Neuroticism,Music,0.03407250152556289,0.03407250152556289,Positive
Neuroticism,Slow songs or fast songs,-0.02573688616304753,0.02573688616304753,Negative
Neuroticism,Dance,-0.02793117395171256,0.02793117395171256,Negative
Neuroticism,Folk,0.018878461099532652,0.018878461099532652,Positive
Neuroticism,Country,-0.10783833314139459,0.10783833314139459,Negative
Neuroticism,Classical music,-0.0068265532292266255,0.0068265532292266255,Negative
Neuroticism,Musical,0.07573308226129216,0.07573308226129216,Positive
Neuroticism,Pop,0.026741082687768383,0.026741082687768383,Positive
Neuroticism,Rock,0.04210814538934995,0.04210814538934995,Positive
Neuroticism,Metal or Hardrock,-0.05859231391393694,0.05859231391393694,Negative
Neuroticism,Punk,-0.009510378124181025,0.009510378124181025,Negative
Neuroticism,"Hiphop, Rap",-0.09497986370755133,0.09497986370755133,Negative
Neuroticism,"Reggae, Ska",-0.023052596941224926,0.023052596941224926,Negative
Neuroticism,"Swing, Jazz",-0.028455528849436185,0.028455528849436185,Negative
Neuroticism,Rock n roll,-0.0027021499549638984,0.0027021499549638984,Negative
Neuroticism,Alternative,0.012287641382943673,0.012287641382943673,Positive
Neuroticism,Latino,0.08353041945482449,0.08353041945482449,Positive
Neuroticism,"Techno, Trance",0.023102411294209108,0.023102411294209108,Positive
Neuroticism,Opera,-0.027137628973133408,0.027137628973133408,Negative
